  ,9422
金背包,57
钟老师,72
魂斗罗,59
黄浦江,35
，不然,32
，但是,107
，然后,60
APEX,60
FGNB,536
FGSB,59
Fgnb,43
aabb,87
apex,95
chen,208
csnb,67
dota,264
fgnb,1176
fgsb,150
five,848
一枪没中,30
了解一下,87
二胎警告,137
什么时候,171
光速理财,80
全军覆没,264
再来五北,846
再来五百,113
出来挨打,103
右边拉满,103
嘴巴健身,55
大日如来,112
大木金仙,32
套你猴子,889
宝哥加油,86
宝哥，你,347
峰哥牛逼,62
帆爷二号,230
带节奏的,55
恭喜发财,149
恭喜宝哥,394
我们这叫,171
我真关了,355
我要中奖,106
拉了裤里,104
旭旭宝宝,284
最后亿把,64
有点东西,40
班加罗尔,75
瞬间爆炸,92
稳定理财,65
给爸爸中,306
耻辱下播,93
色盲模式,307
落地成盒,29
请问这是,86
辅助手枪,132
这个游戏,191
这个班子,112
dota2,51
piaji,120
wdnmd,32
主播不要逗,420
伤心太平洋,119
卡卡跑丁车,119
套你猴子的,193
我套你猴子,146
我沉我自己,30
跑跑卡丁车,102
这什么游戏,38
《全军覆没》,44
你给我连上网,135
太难了太难了,133
机器灵砍菜刀,694
这是什么游戏,71
机器灵，砍菜刀,136
粉丝团每日福利,7784
请主播自动上床,301
不作死就不会死啊,142
红红火火恍恍惚惚,221
粉丝团每日福利峰哥,121
好哥哥，给我连上网吧,105
fgnb粉丝团每日福利,130
粉丝团每日福利fgnb,134
[emot:dy101],692
[emot:dy102],266
[emot:dy110],181
[emot:dy115],210
