翻不了,35
聪明国,185
胖头妹,921
胖头鱼,4667
能不能,6850
补刀斧,123
西瓜皮,115
讲道理,2653
贱婢刘,169
赠品马,183
赤红甲,33
输一年,86
还不如,2201
这么多,3765
这版本,452
送攻击,39
遮羞布,29
金箍棒,435
随便打,1720
黄浦江,418
，不然,826
-100,96
10连败,118
20分钟,461
DOTA,1410
FGNB,14014
FGSB,4464
dota,5901
fgnb,32098
fgsb,12468
hao蠢,406
jidi,670
lion,305
miss,804
mua甲,371
xinq,483
为什么要,364
什么时候,4925
兄妹羁绊,48
决斗戴泽,88
前100,101
劝你善良,35
右边拉满,2256
含泪收菜,40
好起来了,1150
就完事了,1609
峰哥牛逼,1553
弹幕大神,585
恭喜og,109
暗灭大炮,56
最后一波,53
木叶叛忍,118
木叶告急,308
毫无输出,24
瞬间爆炸,2076
秘书淫舌,54
突然死亡,93
这个版本,433
这个英雄,34
阴阳怪气,1930
FGNB!,44
buff怪,34
主播不要逗,6428
宇智波带头,81
掩护冯提莫,128
0-12-0,107
恰恰风恰恰风,67
色情主播，我报警啦,121
@A,2298
dd,959
em,224
pa,3749
yc,966
一直,6560
上分,228
上把,142
不敢,2668
亚瑟,40
交流,244
健身,4522
出来,21846
压制,57
反应,93
后面,4658
哪个,3340
墨客,280
大圣,991
大木,5300
大药,79
大鱼,1890
天天,5855
小强,94
屠夫,105
开心,2359
开雾,32
很多,1445
心态,544
怪物,47
恶心,2638
恶霸,38
技术,1399
抓人,45
排到,72
明天,8117
有毒,1163
本体,209
水平,973
流畅,214
火女,2426
爆炸,477
牌子,3027
电狗,466
空大,369
蚂蚁,711
视野,200
说话,6758
谜团,9948
谢谢,4698
连败,3337
连跪,72
锋哥,357
除了,358
马刀,57
150,62
360,2585
3号位,63
哈斯卡,799
大mu,196
太多了,594
带节奏,828
爆眼龙,32
看不起,477
看直播,395
莉莉丝,335
0-16,189
yao命,39
yygq,1798
唯一峰哥,202
峰哥加油,118
彩色弹幕,53
死亡凝视,461
点名批评,74
leile,1209
他lei了,578
这个,25118
FW,322
SK,320
TA,3098
TK,2185
T皇,94
XG,1562
fw,1341
jb,836
mu,229
sk,718
ta,3263
tk,3082
t皇,49
xg,3149
一堆,615
一姐,211
三星,12858
三皇,180
三级,3010
下棋,13094
两级,741
主播,28792
主教,5703
之后,902
乌总,169
二星,1205
二胎,8594
亡灵,2258
人口,11384
体系,657
儿子,22024
光法,7552
全能,1977
关键,1263
几把,2145
利息,890
刷新,8551
刺客,11462
前排,2285
加钱,109
升级,8169
卖血,1828
卡池,48
发条,6126
吃屎,5563
吃饭,2156
吃鸡,22598
合成,323
名字,1252
后排,745
地精,15398
士兵,1742
声音,8271
大叔,186
大树,4769
天才,1275
天湖,516
天胡,1927
套路,2293
好急,1118
姜昆,170
姜硬,88
姜诗,48
娜迦,2797
存钱,3321
孩子,3812
宝哥,200527
小路,192
小鹿,7600
左边,7580
巨魔,23798
巫妖,3039
帕克,2315
干嘛,8153
开团,37
开局,599
弟弟,14006
很强,1753
很难,236
